W=4959	 B=5041	 F=992x
W=8388	 B=1612	 F=976-rounding endges
W=9806	 B=194	 F=968
W=7056	 B=2944	 F=964
W=7370	 B=2630	 F=962
W=6632	 B=3368	 F=961
W=213	 B=9787	 F=944--white-spots
W=4582	 B=5418	 F=936
W=6469	 B=3531	 F=932
W=7124	 B=2876	 F=930x
W=6975	 B=3025	 F=929
W=5053	 B=4947	 F=920
W=5753	 B=4247	 F=916
W=6660	 B=3340	 F=914x
W=7133	 B=2867	 F=913
W=5734	 B=4266	 F=908
W=6457	 B=3543	 F=906
W=6899	 B=3101	 F=905
W=6491	 B=3509	 F=902
W=6585	 B=3415	 F=901
W=6319	 B=3681	 F=899
W=2934	 B=7066	 F=880x
W=3464	 B=6536	 F=872
W=4941	 B=5059	 F=868x
W=7039	 B=2961	 F=866x
W=6710	 B=3290	 F=865
W=4238	 B=5762	 F=856x
W=5019	 B=4981	 F=852
W=6068	 B=3932	 F=850
W=6995	 B=3005	 F=849x
W=5370	 B=4630	 F=844
W=6046	 B=3954	 F=842
W=6544	 B=3456	 F=841
W=6107	 B=3893	 F=838
W=6729	 B=3271	 F=837
W=6179	 B=3821	 F=835
W=4088	 B=5912	 F=824
W=4607	 B=5393	 F=820
W=4775	 B=5225	 F=818
W=5506	 B=4494	 F=817
W=4869	 B=5131	 F=812
W=5410	 B=4590	 F=810
W=5747	 B=4253	 F=809
W=5860	 B=4140	 F=806
W=6388	 B=3612	 F=805x
W=6357	 B=3643	 F=803
W=5080	 B=4920	 F=796
W=5382	 B=4618	 F=794
W=5514	 B=4486	 F=793
W=5712	 B=4288	 F=790
W=5930	 B=4070	 F=789
W=6492	 B=3508	 F=787
W=5496	 B=4504	 F=782
W=6093	 B=3907	 F=781
W=6105	 B=3895	 F=779
W=5643	 B=4357	 F=775
W=2671	 B=7329	 F=752x
W=2737	 B=7263	 F=744x
W=3063	 B=6937	 F=740
W=5004	 B=4996	 F=738
W=6351	 B=3649	 F=737x
W=3286	 B=6714	 F=728
W=3917	 B=6083	 F=724
W=5047	 B=4953	 F=722
W=6407	 B=3593	 F=721
W=5116	 B=4884	 F=716
W=5837	 B=4163	 F=714
W=6371	 B=3629	 F=713
W=5966	 B=4034	 F=710
W=6574	 B=3426	 F=709x
W=6375	 B=3625	 F=707
W=3670	 B=6330	 F=696
W=3845	 B=6155	 F=692
W=4169	 B=5831	 F=690
W=4274	 B=5726	 F=689
W=4625	 B=5375	 F=684
W=4957	 B=5043	 F=682
W=5182	 B=4818	 F=681
W=5618	 B=4382	 F=678
W=6356	 B=3644	 F=677
W=6216	 B=3784	 F=675
W=4507	 B=5493	 F=668
W=4939	 B=5061	 F=666x
W=5025	 B=4975	 F=665
W=5369	 B=4631	 F=662
W=5670	 B=4330	 F=661
W=6411	 B=3589	 F=659
W=5218	 B=4782	 F=654
W=5758	 B=4242	 F=653
W=5991	 B=4009	 F=651
W=5435	 B=4565	 F=647
W=3608	 B=6392	 F=632
W=3914	 B=6086	 F=628x
W=3917	 B=6083	 F=626
W=4172	 B=5828	 F=625
W=4006	 B=5994	 F=620
W=4093	 B=5907	 F=618
W=4474	 B=5526	 F=617
W=4945	 B=5055	 F=614
W=5569	 B=4431	 F=613
W=6097	 B=3903	 F=611
W=4370	 B=5630	 F=604
W=4577	 B=5423	 F=602x
W=4668	 B=5332	 F=601
W=5082	 B=4918	 F=598
W=5101	 B=4899	 F=597
W=5950	 B=4050	 F=595
W=5037	 B=4963	 F=590
W=5391	 B=4609	 F=589
W=5933	 B=4067	 F=587
W=5584	 B=4416	 F=583
W=4380	 B=5620	 F=572
W=4639	 B=5361	 F=570
W=4717	 B=5283	 F=569
W=4837	 B=5163	 F=566
W=4853	 B=5147	 F=565x
W=5270	 B=4730	 F=563
W=4840	 B=5160	 F=558
W=5209	 B=4791	 F=557
W=5463	 B=4537	 F=555
W=5794	 B=4206	 F=551
W=5005	 B=4995	 F=542
W=5332	 B=4668	 F=541
W=5439	 B=4561	 F=539
W=5437	 B=4563	 F=535x
W=5200	 B=4800	 F=527x
W=3346	 B=6654	 F=496---boiling-water
W=2886	 B=7114	 F=488x
W=3217	 B=6783	 F=484
W=3578	 B=6422	 F=482
W=5116	 B=4884	 F=481
W=2765	 B=7235	 F=472x
W=3178	 B=6822	 F=468
W=3552	 B=6448	 F=466
W=4800	 B=5200	 F=465
W=4542	 B=5458	 F=460
W=5644	 B=4356	 F=458
W=6354	 B=3646	 F=457x
W=5867	 B=4133	 F=454x
W=6460	 B=3540	 F=453
W=6444	 B=3556	 F=451
W=3114	 B=6886	 F=440
W=3450	 B=6550	 F=436
W=3478	 B=6522	 F=434
W=3595	 B=6405	 F=433
W=4257	 B=5743	 F=428
W=4690	 B=5310	 F=426
W=4996	 B=5004	 F=425
W=5650	 B=4350	 F=422x
W=6211	 B=3789	 F=421
W=6420	 B=3580	 F=419
W=4610	 B=5390	 F=412
W=4997	 B=5003	 F=410
W=5011	 B=4989	 F=409
W=5286	 B=4714	 F=406
W=5564	 B=4436	 F=405
W=6397	 B=3603	 F=403
W=5383	 B=4617	 F=398x
W=5611	 B=4389	 F=397
W=5970	 B=4030	 F=395
W=5724	 B=4276	 F=391
W=3204	 B=6796	 F=376
W=3436	 B=6564	 F=372
W=3425	 B=6575	 F=370
W=3639	 B=6361	 F=369
W=3589	 B=6411	 F=364
W=3691	 B=6309	 F=362x
W=3789	 B=6211	 F=361
W=4459	 B=5541	 F=358
W=4958	 B=5042	 F=357
W=5929	 B=4071	 F=355
W=3982	 B=6018	 F=348
W=4304	 B=5696	 F=346
W=4395	 B=5605	 F=345
W=4778	 B=5222	 F=342
W=5034	 B=4966	 F=341
W=5778	 B=4222	 F=339
W=5170	 B=4830	 F=334
W=5361	 B=4639	 F=333
W=5819	 B=4181	 F=331
W=5686	 B=4314	 F=327x
W=4214	 B=5786	 F=316
W=4192	 B=5808	 F=314
W=4401	 B=5599	 F=313
W=4552	 B=5448	 F=310
W=4719	 B=5281	 F=309
W=4966	 B=5034	 F=307
W=4692	 B=5308	 F=302
W=5034	 B=4966	 F=301
W=5395	 B=4605	 F=299
W=5795	 B=4205	 F=295
W=4114	 B=5886	 F=286
W=4767	 B=5233	 F=285
W=5272	 B=4728	 F=283
W=5289	 B=4711	 F=279
W=1167	 B=8833	 F=271--bacteria
W=3901	 B=6099	 F=248
W=3731	 B=6269	 F=244x
W=3649	 B=6351	 F=242
W=3692	 B=6308	 F=241
W=3677	 B=6323	 F=236
W=3842	 B=6158	 F=234
W=3686	 B=6314	 F=233
W=3941	 B=6059	 F=230
W=4108	 B=5892	 F=229
W=5014	 B=4986	 F=227
W=3525	 B=6475	 F=220
W=3446	 B=6554	 F=218
W=3600	 B=6400	 F=217
W=4116	 B=5884	 F=214
W=4121	 B=5879	 F=213
W=5198	 B=4802	 F=211
W=4716	 B=5284	 F=206
W=5052	 B=4948	 F=205
W=5640	 B=4360	 F=203
W=5691	 B=4309	 F=199
W=4074	 B=5926	 F=188x
W=3996	 B=6004	 F=186
W=3935	 B=6065	 F=185
W=4127	 B=5873	 F=182
W=4089	 B=5911	 F=181
W=4412	 B=5588	 F=179
W=4553	 B=5447	 F=174
W=4567	 B=5433	 F=173
W=4991	 B=5009	 F=171
W=5575	 B=4425	 F=167x
W=4509	 B=5491	 F=158
W=4792	 B=5208	 F=157x
W=4972	 B=5028	 F=155
W=5274	 B=4726	 F=151x
W=769	 B=9231	 F=143--creatures
W=4644	 B=5356	 F=124x
W=4430	 B=5570	 F=122
W=4209	 B=5791	 F=121
W=4491	 B=5509	 F=118
W=4310	 B=5690	 F=117
W=4464	 B=5536	 F=115
W=4292	 B=5708	 F=110
W=4122	 B=5878	 F=109
W=4258	 B=5742	 F=107
W=4972	 B=5028	 F=103
W=4577	 B=5423	 F=94
W=4834	 B=5166	 F=93
W=4660	 B=5340	 F=91
W=4907	 B=5093	 F=87
W=672	 B=9328	 F=79
W=5036	 B=4964	 F=62
W=9096	 B=904	 F=61
W=9235	 B=765	 F=59
W=9855	 B=145	 F=55
W=7620	 B=2380	 F=47
W=5402	 B=4598	 F=31
